Ticker,Date,Open,Close
PM,2025-11-03,143.5,144.60000610351562
PM,2025-11-04,145.74000549316406,147.66000366210938
PM,2025-11-05,148.19000244140625,148.39999389648438
PM,2025-11-06,148.47000122070312,149.89999389648438
PM,2025-11-07,151.25,153.38999938964844
PM,2025-11-10,152.10000610351562,155.07000732421875
PM,2025-11-11,155.4199981689453,156.8000030517578
PM,2025-11-12,156.25,155.55999755859375
PM,2025-11-13,155.69000244140625,155.14999389648438
PM,2025-11-14,155.25,155.42999267578125
PM,2025-11-17,154.9199981689453,152.75999450683594
PM,2025-11-18,154.1199951171875,155.85000610351562
PM,2025-11-19,155.50999450683594,155.61000061035156
PM,2025-11-20,155.57000732421875,155.64999389648438
PM,2025-11-21,156.38999938964844,155.24000549316406
PM,2025-11-24,154.00999450683594,151.05999755859375
PM,2025-11-25,152.67999267578125,157.41000366210938
PM,2025-11-26,157.94000244140625,156.49000549316406
PM,2025-11-28,155.3000030517578,157.47999572753906
GRND,2025-11-03,13.699999809265137,13.699999809265137
GRND,2025-11-04,13.40999984741211,13.199999809265137
GRND,2025-11-05,13.199999809265137,13.1899995803833
GRND,2025-11-06,13.3100004196167,13.59000015258789
GRND,2025-11-07,14.8100004196167,15.09000015258789
GRND,2025-11-10,15.100000381469727,15.170000076293945
GRND,2025-11-11,15.100000381469727,15.100000381469727
GRND,2025-11-12,15.09000015258789,14.779999732971191
GRND,2025-11-13,14.720000267028809,14.380000114440918
GRND,2025-11-14,14.09000015258789,14.010000228881836
GRND,2025-11-17,14.0,13.869999885559082
GRND,2025-11-18,13.550000190734863,13.9399995803833
GRND,2025-11-19,13.829999923706055,13.8100004196167
GRND,2025-11-20,13.979999542236328,13.729999542236328
GRND,2025-11-21,13.789999961853027,13.84000015258789
GRND,2025-11-24,12.670000076293945,12.15999984741211
GRND,2025-11-25,12.25,12.609999656677246
GRND,2025-11-26,12.670000076293945,12.9399995803833
GRND,2025-11-28,12.9399995803833,12.829999923706055
DASH,2025-11-03,255.88999938964844,242.0500030517578
DASH,2025-11-04,238.41000366210938,239.92999267578125
DASH,2025-11-05,241.50999450683594,238.0
DASH,2025-11-06,211.25999450683594,196.4600067138672
DASH,2025-11-07,195.66000366210938,204.30999755859375
DASH,2025-11-10,207.52000427246094,204.0800018310547
DASH,2025-11-11,202.22999572753906,200.6300048828125
DASH,2025-11-12,201.25,196.50999450683594
DASH,2025-11-13,197.75,195.2100067138672
DASH,2025-11-14,196.69000244140625,206.9600067138672
DASH,2025-11-17,207.3350067138672,210.64999389648438
DASH,2025-11-18,210.8000030517578,212.0800018310547
DASH,2025-11-19,216.0449981689453,202.31500244140625
DASH,2025-11-20,203.25,187.72999572753906
DASH,2025-11-21,187.6300048828125,189.6300048828125
DASH,2025-11-24,190.47999572753906,188.0800018310547
DASH,2025-11-25,188.0800018310547,195.49000549316406
DASH,2025-11-26,196.9499969482422,195.97999572753906
DASH,2025-11-28,196.99000549316406,198.3699951171875
CRWV,2025-11-03,133.8350067138672,126.31999969482422
CRWV,2025-11-04,119.95999908447266,115.75
CRWV,2025-11-05,118.41999816894531,114.41999816894531
CRWV,2025-11-06,115.94000244140625,106.93000030517578
CRWV,2025-11-07,103.12000274658203,104.01000213623047
CRWV,2025-11-10,110.30000305175781,105.61000061035156
CRWV,2025-11-11,96.0999984741211,88.38999938964844
CRWV,2025-11-12,91.7699966430664,85.43000030517578
CRWV,2025-11-13,84.38500213623047,78.33999633789062
CRWV,2025-11-14,75.84500122070312,77.36000061035156
CRWV,2025-11-17,75.51000213623047,75.33000183105469
CRWV,2025-11-18,74.44499969482422,74.9000015258789
CRWV,2025-11-19,75.0,74.91999816894531
CRWV,2025-11-20,82.62000274658203,69.20999908447266
CRWV,2025-11-21,70.77999877929688,71.6500015258789
